iter	Passed	Remaining
401	15470	3771
402	15504	3731
403	15541	3693
404	15574	3653
405	15609	3614
406	15641	3574
407	15674	3534
408	15711	3495
409	15745	3456
410	15789	3419
411	15823	3379
412	15858	3340
413	15888	3300
414	15917	3260
415	15955	3221
416	15983	3181
417	16020	3142
418	16062	3105
419	16096	3066
420	16131	3027
421	16168	2988
422	16211	2951
423	16245	2912
424	16289	2874
425	16344	2839
426	16388	2801
427	16445	2766
428	16495	2730
429	16536	2692
430	16582	2654
431	16621	2616
432	16672	2579
433	16714	2541
434	16757	2504
435	16799	2465
436	16837	2427
437	16876	2388
438	16910	2349
439	16953	2311
440	16995	2273
441	17028	2234
442	17063	2195
443	17099	2156
444	17130	2117
445	17171	2079
446	17207	2040
447	17251	2002
448	17289	1963
449	17325	1925
450	17364	1886
451	17397	1847
452	17433	1808
453	17469	1770
454	17508	1731
455	17542	1692
456	17575	1653
457	17614	1615
458	17659	1577
459	17697	1538
460	17729	1499
461	17771	1461
462	17812	1423
463	17859	1385
464	17910	1348
465	17962	1310
466	18016	1273
467	18074	1235
468	18135	1198
469	18186	1160
470	18239	1123
471	18297	1085
472	18363	1048
473	18436	1011
474	18505	973
475	18602	937
476	18675	900
477	18741	862
478	18808	824
479	18873	786
480	18937	748
481	19001	709
482	19072	671
483	19135	632
484	19194	593
485	19243	554
486	19292	515
487	19340	475
488	19400	436
489	19470	397
490	19525	357
491	19587	318
492	19643	278
493	19697	239
494	19752	199
495	19810	159
496	19875	119
497	19932	80
498	19978	40
499	20018	0
