iter	RMSE
349	1749.404116
350	1749.079233
351	1748.600982
352	1748.235872
353	1748.007695
354	1747.682859
355	1747.391239
356	1746.961402
357	1746.682232
358	1746.239716
359	1746.068609
360	1745.735262
361	1745.53404
362	1745.105064
363	1744.842583
364	1744.5849
365	1744.203079
366	1743.934016
367	1743.696307
368	1743.307819
369	1742.915047
370	1742.512851
371	1742.140879
372	1741.96549
373	1741.565753
374	1741.019504
375	1740.676489
376	1740.321245
377	1740.011623
378	1739.663814
379	1739.309203
380	1738.985285
381	1738.630792
382	1738.434063
383	1738.068894
384	1737.872223
385	1737.691602
386	1737.435985
387	1737.357575
388	1737.081078
389	1736.874217
390	1736.586889
391	1736.351479
392	1735.990055
393	1735.574888
394	1735.312471
395	1734.965629
396	1734.513296
397	1734.286205
398	1733.990946
399	1733.784491
400	1733.453944
401	1733.332661
402	1733.082546
403	1732.710518
404	1732.397365
405	1732.088535
406	1731.830619
407	1731.367711
408	1730.980242
409	1730.63739
410	1730.323026
411	1730.127935
412	1729.936186
413	1729.666382
414	1729.393152
415	1728.965268
416	1728.79318
417	1728.523609
418	1728.23165
419	1727.810395
420	1727.563899
421	1727.200444
422	1726.941789
423	1726.657565
424	1726.34673
425	1726.043335
426	1725.804924
427	1725.454127
428	1725.183248
429	1724.994502
430	1724.755372
431	1724.467117
432	1724.157755
433	1723.802083
434	1723.533982
435	1723.187357
436	1723.023268
437	1722.809567
438	1722.653626
439	1722.244537
440	1722.02461
441	1721.846741
442	1721.666636
443	1721.397129
444	1721.169422
445	1720.973684
446	1720.624981
447	1720.379438
448	1720.064171
449	1719.751131
450	1719.554981
451	1719.393535
452	1719.104797
453	1718.838047
454	1718.515385
455	1718.313995
456	1718.08213
457	1717.698783
458	1717.378899
459	1717.189487
460	1716.951314
461	1716.540499
462	1716.286587
463	1716.128765
464	1715.874648
465	1715.625992
466	1715.262778
467	1715.027516
468	1714.519033
469	1714.216621
470	1713.936054
471	1713.611788
472	1713.298124
473	1713.143058
474	1713.00573
475	1712.5243
476	1712.284341
477	1712.082392
478	1711.784582
479	1711.428555
480	1711.124662
481	1710.914114
482	1710.604732
483	1710.385348
484	1710.239308
485	1709.937595
486	1709.769335
487	1709.448502
488	1709.09763
489	1708.610515
490	1708.457888
491	1708.154034
492	1707.954182
493	1707.775121
494	1707.523649
495	1707.238496
496	1706.799484
497	1706.631405
498	1706.542696
499	1706.455782
